serial,GPS_date_YYYY-MM-DD,GPS_utc_HH:MM:SS,GPS_YYYY-MM-DD_HH:MM:SS,lat,lon,hdop,fix,cog,speed,alt,data_voltage,solar_charge,solar_current,nsats,vdop,geo,activity,inactivity,temperature,time_to_fix
89460800120113347221,2022-02-05,14:13:04,2022-02-05 14:13:04,43.181671,-116.247841,2.75,3,0,0.01,924.0,4.11,0.03,0.0,11,1.51,,1478,,26.0,43
89460800120113347221,2022-02-05,01:46:30,2022-02-05 01:46:30,43.174568,-116.256363,1.11,3,0,0.0,927.0,4.12,0.02,0.0,12,1.4,,196,,25.0,10
89460800120113347221,2022-02-05,01:17:09,2022-02-05 01:17:09,43.171658,-116.256836,1.09,3,336,0.09,924.0,4.12,0.14,0.0,9,2.34,,1338,,26.0,10
89460800120113347221,2022-02-05,00:17:40,2022-02-05 00:17:40,43.154133,-116.265602,0.86,3,0,0.02,896.0,4.13,2.57,0.0,12,1.12,,358,,28.0,54
89460800120113347221,2022-02-04,23:16:26,2022-02-04 23:16:26,43.150284,-116.261513,1.24,3,0,0.04,907.0,4.12,4.16,0.0,11,1.2,,2192,,25.0,10
89460800120113347221,2022-02-04,22:15:57,2022-02-04 22:15:57,43.146336,-116.288231,0.96,3,26,0.03,858.0,4.12,3.35,0.0,11,1.53,,4388,,21.0,10
89460800120113347221,2022-02-04,21:15:58,2022-02-04 21:15:58,43.146355,-116.287804,0.67,3,0,0.11,859.0,4.11,3.72,0.0,12,0.97,,3159,,18.0,40
89460800120113347221,2022-02-04,20:15:29,2022-02-04 20:15:29,43.146114,-116.288071,1.11,3,0,0.26,870.0,4.11,3.05,0.0,12,1.8,,3258,,20.0,11
89460800120113347221,2022-02-04,19:15:29,2022-02-04 19:15:29,43.148392,-116.286507,0.85,3,47,31.94,860.0,4.09,6.21,7.0,12,1.11,,2644,,17.0,30
89460800120113347221,2022-02-04,18:15:10,2022-02-04 18:15:10,43.148945,-116.286148,1.23,3,0,0.22,874.0,4.08,3.46,0.0,11,1.28,,2463,,20.0,31
