time_at_fix,hardware_id,alias,latitude,longitude,altitude,speed,cog,hdop,vdop,pdop,satellite_count,time_to_fix,fix_quality,error,activity,battery_mv,instantaneous_solar_mv,solar_current_since_last_fix_ma,temperature_c,connect_at,ctt_device_type,position_uncertainty,activity_x,activity_y,activity_z,connection_duration,session_id,fix_method,id
2023-05-14T17:30:30.000Z,3.51359E+14,,46.104866,-103.836273,878,,,,,2.68,,24,,,,4122,,,40,,Flicker-GPS,,235,221,1932,,,GPS,98105
2023-05-14T18:30:13.000Z,3.51359E+14,,46.104847,-103.836296,870,,,,,3.09,,7,,,,4121,,,35,,Flicker-GPS,,6,0,7,,,GPS,98105
2023-05-14T19:30:30.000Z,3.51359E+14,,46.104832,-103.836288,873,,,,,1.84,,24,,,,4123,,,42,,Flicker-GPS,,0,0,0,,,GPS,98105
2023-05-14T20:00:09.399Z,3.51359E+14,,46.296274,-103.924841,,,,,,,,,,,,4124,634,,40,,Flicker-GPS,2633.275,,,,4383,,SCELL,98105
2023-05-14T20:30:13.000Z,3.51359E+14,,46.106083,-103.844467,869,,,,,2.43,,7,,,,4121,,,26,,Flicker-GPS,,0,3,18,,,GPS,98105
2023-05-14T21:30:13.000Z,3.51359E+14,,46.106297,-103.844696,860,,,,,6.03,,7,,,,4117,,,35,,Flicker-GPS,,20,2,13,,,GPS,98105
2023-05-14T22:00:30.000Z,3.51359E+14,,46.10627,-103.844681,866,,,,,5.93,,24,,,,4118,,,29,,Flicker-GPS,,0,0,0,,,GPS,98105
2023-05-14T22:30:15.000Z,3.51359E+14,,46.10648,-103.836479,883,,,,,15.81,,9,,,,4117,,,21,,Flicker-GPS,,3,0,3,,,GPS,98105
2023-05-14T23:30:14.000Z,3.51359E+14,,46.050709,-103.904778,904,,,,,6.29,,8,,,,4109,,,26,,Flicker-GPS,,23,5,885,,,GPS,98105
2023-05-15T00:00:30.000Z,3.51359E+14,,46.050823,-103.904999,907,,,,,1.74,,24,,,,4114,,,32,,Flicker-GPS,,3,1,8,,,GPS,98105
